# Job,Month,RedTimeDays,AverageBuildTimeMinutes,JobUrl
chef-backend-test,2016-06,0.58,22.69,http://wilson.ci.chef.co/job/chef-backend-test/
chef-backend-test,2016-07,0.84,25.23,http://wilson.ci.chef.co/job/chef-backend-test/
chef-backend-trigger-ad_hoc,2016-01,1.59,79.21,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-ad_hoc,2016-02,0.27,97.20,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-ad_hoc,2016-03,7.08,97.32,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-ad_hoc,2016-04,5.32,44.55,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-ad_hoc,2016-05,0.00,41.25,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-ad_hoc,2016-06,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-ad_hoc,2016-07,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-ad_hoc/
chef-backend-trigger-git_poll,2015-12,6.74,50.95,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-01,2.97,67.43,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-02,0.87,65.29,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-03,9.17,63.51,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-04,20.74,50.05,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-05,0.00,40.60,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-06,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-git_poll,2016-07,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-git_poll/
chef-backend-trigger-release,2016-02,0.00,40.82,http://wilson.ci.chef.co/job/chef-backend-trigger-release/
chef-backend-trigger-release,2016-03,0.00,59.63,http://wilson.ci.chef.co/job/chef-backend-trigger-release/
chef-backend-trigger-release,2016-04,0.00,40.86,http://wilson.ci.chef.co/job/chef-backend-trigger-release/
chef-backend-trigger-release,2016-05,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-release/
chef-backend-trigger-release,2016-06,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-release/
chef-backend-trigger-release,2016-07,0.00,0.00,http://wilson.ci.chef.co/job/chef-backend-trigger-release/
chef-compliance-build,2015-12,10.00,41.21,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-01,1.51,45.30,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-02,3.66,38.94,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-03,3.26,43.89,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-04,4.01,42.43,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-05,7.40,27.98,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-06,0.00,47.98,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-build,2016-07,0.00,105.87,http://wilson.ci.chef.co/job/chef-compliance-build/
chef-compliance-test,2015-12,0.00,12.54,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-01,0.00,13.25,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-02,0.00,7.47,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-03,0.00,9.80,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-04,0.00,10.26,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-05,0.00,10.38,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-06,0.00,11.34,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-test,2016-07,0.00,0.00,http://wilson.ci.chef.co/job/chef-compliance-test/
chef-compliance-trigger-ad_hoc,2015-12,7.10,67.91,http://wilson.ci.chef.co/job/chef-compliance-trigger-ad_hoc/
chef-compliance-trigger-ad_hoc,2016-01,0.00,111.42,http://wilson.ci.chef.co/job/chef-compliance-trigger-ad_hoc/
